year,home_team,away_team,home_points,away_points,spread,model_home_win_prob,model_pick_home,vegas_pick_home,model_correct,home_win
2021,Georgia Tech,Pittsburgh,21,52,3.0,0.5606300971211359,1,0,0,0
2021,Clemson,Georgia,3,10,-2.5,0.2230739901188359,0,1,1,0
2021,Notre Dame,Cincinnati,13,24,2.0,0.6945091662796781,1,0,0,0
2021,Wisconsin,Michigan,17,38,-2.5,0.3904276283127971,0,1,1,0
2021,Pittsburgh,Clemson,27,17,-3.5,0.37487730631521876,0,1,0,1
2021,Kansas State,Iowa State,20,33,6.5,0.5142763488076809,1,0,0,0
2021,Boston College,NC State,7,33,3.0,0.5185681908083357,1,0,0,0
2021,Tennessee,Ole Miss,26,31,1.0,0.5609838397891109,1,0,0,0
2021,Kansas,Texas Tech,14,41,18.5,0.5881296739097713,1,0,0,0
2021,Virginia Tech,Pittsburgh,7,28,6.5,0.5219615481705372,1,0,0,0
2021,Iowa,Purdue,7,24,-11.5,0.4699080511688407,0,1,1,0
2021,North Carolina,Miami,45,42,-7.5,0.3449151604985242,0,1,0,1
2021,Arkansas,Auburn,23,38,-4.5,0.3108002812538375,0,1,1,0
2021,Purdue,Wisconsin,13,30,3.5,0.5334381780378643,1,0,0,0
2021,Indiana,Michigan State,15,20,3.5,0.5731550601732729,1,0,0,0
2021,LSU,Florida,49,42,12.5,0.7146811886837066,1,0,1,1
2021,Tennessee,South Carolina,45,20,-10.5,0.4785635850122507,0,1,0,1
2021,Rutgers,Michigan State,13,31,4.0,0.5697138365909107,1,0,0,0
2021,Syracuse,Wake Forest,37,40,6.0,0.55567623480314,1,0,0,0
2021,Baylor,West Virginia,45,20,-1.0,0.4890015266618447,0,1,0,1
2021,Iowa,Penn State,23,20,-2.5,0.24071765870835798,0,1,0,1
2021,Virginia Tech,Notre Dame,29,32,-1.0,0.4080379786793271,0,1,1,0
2021,Kentucky,LSU,42,21,-2.0,0.21415881620665747,0,1,0,1
2021,North Carolina,Florida State,25,35,-17.5,0.30139131260549207,0,1,1,0
2022,Virginia,Pittsburgh,7,37,5.5,0.6845843971905643,1,0,0,0
2022,Virginia Tech,Georgia Tech,27,28,-4.0,0.4380014416082824,0,1,1,0
2022,Miami,Florida State,3,45,6.5,0.5999683810426996,1,0,0,0
2022,Mississippi State,Auburn,39,33,-12.5,0.39764575533771607,0,1,0,1
2022,Pittsburgh,Syracuse,19,9,-3.5,0.47399700369029135,0,1,0,1
2022,Illinois,Michigan State,15,23,-16.0,0.4073215189463333,0,1,1,0
2022,Kansas,Oklahoma State,37,16,-3.0,0.42480807272837307,0,1,0,1
2022,NC State,Wake Forest,30,21,3.0,0.6235287759644629,1,0,1,1
2022,UCLA,Stanford,38,13,-16.5,0.4457497202457917,0,1,0,1
2022,Purdue,Iowa,3,24,-3.5,0.42908546553232274,0,1,1,0
2022,Boston College,Duke,31,38,11.5,0.6314662353123642,1,0,0,0
2022,Texas A&M,Ole Miss,28,31,3.0,0.8512017217615276,1,0,0,0
2022,Louisville,Wake Forest,48,21,3.0,0.5562003674700833,1,0,1,1
2022,Kansas State,Oklahoma State,48,0,-2.5,0.3764784634345533,0,1,0,1
2022,Nebraska,Illinois,9,26,7.5,0.6384038584665671,1,0,0,0
2022,Illinois,Purdue,24,31,-6.0,0.4576623066760544,0,1,1,0
2022,Auburn,Arkansas,27,41,4.0,0.6467513838975963,1,0,0,0
2022,Missouri,Kentucky,17,21,-1.0,0.41869232209553114,0,1,1,0
2022,Iowa,Wisconsin,24,10,1.5,0.5630128629915547,1,0,1,1
2022,Ole Miss,Mississippi State,22,24,-2.5,0.44033021510547343,0,1,1,0
2022,Georgia Tech,Miami,14,35,-2.0,0.3140126328242545,0,1,1,0
2022,Missouri,Vanderbilt,17,14,-14.0,0.4917108444193202,0,1,0,1
2022,TCU,Kansas State,28,31,1.0,0.7274507348590763,1,0,0,0
